text,label
"I am feeling so happy and full of energy today!","happy"
"Everything is going great and I'm so excited.","happy"
"I had a wonderful day and I feel joyful.","happy"
"Such a beautiful morning, I'm feeling fantastic.","happy"
"I am so proud of my achievements, what a happy day.","happy"
"I feel so sad and lonely right now.","sad"
"It's been a tough day and I feel like crying.","sad"
"I am heartbroken and nothing seems to go right.","sad"
"I miss them so much, I feel very down.","sad"
"Everything feels gloomy and I'm feeling blue.","sad"
"I am so stressed out with all this work.","stress"
"I feel overwhelmed and anxious about the future.","stress"
"There is way too much on my plate, I am drowning in stress.","stress"
"I can't stop worrying, I feel so tense.","stress"
"The pressure is getting to me, I feel burnt out.","stress"
"I am so angry right now, I could scream!","angry"
"This is so unfair, I'm absolutely furious.","angry"
"I'm feeling very irritated and frustrated.","angry"
"I can't believe they did that, I'm so mad.","angry"
"Everything is annoying me today, I'm in a bad mood.","angry"
"నేను ఈ రోజు చాలా సంతోషంగా ఉన్నాను.","happy"
"నాకు చాలా ఆనందంగా ఉంది.","happy"
"ఈ రోజు చాలా బాగుంది.","happy"
"నేను చాలా బాధగా ఉన్నాను.","sad"
"నాకు ఏడుపు వస్తోంది.","sad"
"జీవితం చాలా కష్టంగా ఉంది.","sad"
"నాకు చాలా ఒత్తిడిగా ఉంది.","stress"
"పని చాలా ఎక్కువగా ఉంది.","stress"
"నేను చాలా టెన్షన్ పడుతున్నాను.","stress"
"నాకు చాలా కోపంగా ఉంది.","angry"
"వాళ్ళు నన్ను చాలా చిరాకు పెడుతున్నారు.","angry"
"నేను చాలా సీరియస్ గా ఉన్నాను.","angry"
"आज मैं बहुत खुश हूँ।","happy"
"मुझे बहुत अच्छा लग रहा है।","happy"
"यह दिन बहुत शानदार है।","happy"
"मैं बहुत दुखी हूँ।","sad"
"मुझे रोना आ रहा है।","sad"
"दिल टूट गया है।","sad"
"मुझे बहुत तनाव हो रहा है।","stress"
"काम का बहुत बोझ है।","stress"
"मैं बहुत परेशान हूँ।","stress"
"मुझे बहुत गुस्सा आ रहा है।","angry"
"यह बहुत गलत है।","angry"
"मैं बहुत चिढ़ रहा हूँ।","angry"
